work_id,work_description,dependency,component,time_cost
ID-002-528,slide 0 (cover slide - cover): craft the whole slide,-,-,5
ID-003-270,slide 1 (table of content - table of content - table of content): craft the whole slide,-,-,8
ID-004-742,slide 2 (executive summary - section intro): craft the whole slide,-,-,5
ID-005-497,slide 3 (executive summary - main content - 2024 review): add remark on 2024's targeted genres' performance ,"ID-018-195, ID-019-410",-,30
ID-006-400,slide 3 (executive summary - main content - 2024 review): add remark on top-performing genres and new games of 2024,"ID-013-399, ID-014-944, ID-015-251, ID-016-980",-,30
ID-007-148,slide 3 (executive summary - main content - 2024 review): add charts & figures,"ID-005-497, ID-006-400",-,60
ID-008-662,slide 3 (executive summary - main content - 2024 review): assemble the slide,"ID-005-497, ID-006-400, ID-007-148",-,15
ID-009-878,slide 4 (executive summary - main content - 2025 outlook): add main remark on the most promising genres to focus in 2025,ID-037-380,-,30
ID-010-747,slide 4 (executive summary - main content - 2025 outlook): add other remarks on interesting findings from the data,ID-037-380,-,60
ID-011-599,slide 4 (executive summary - main content - 2025 outlook): assemble the slide,"ID-009-878, ID-010-747",-,15
ID-012-524,slide 5 (2024 review - section intro): craft the whole slide,-,-,5
ID-013-399,slide 6 (2024 review - main content - 2024 top genres & new games): create table top 10 genres in terms of revenue in 2024,-,"ID-047-939, ID-048-126",1373
ID-014-944,slide 6 (2024 review - main content - 2024 top genres & new games): create table top 10 genres in terms of revenue growth rate in 2024 (compared to 2023),-,"ID-062-375, ID-063-325",428
ID-015-251,slide 6 (2024 review - main content - 2024 top genres & new games): create table top 20 games released in 2024 (in terms of 1st 60-day revenue) with their genres,-,"ID-069-498, ID-070-555, ID-071-274, ID-072-840",415
ID-016-980,slide 6 (2024 review - main content - 2024 top genres & new games): top new games in 2024 belong to genres:...,ID-015-251,-,10
ID-017-925,slide 6 (2024 review - main content - 2024 top genres & new games): assemble the slide,"ID-013-399, ID-014-944, ID-015-251, ID-016-980",-,10
ID-018-195,"slide 7 (2024 review - main content - targeted genres' 2024 performance): create table revenue, download, revenue growth, download growth, market share change of 3 targeted genres in 2024",ID-017-925,-,20
ID-019-410,"slide 7 (2024 review - main content - targeted genres' 2024 performance): create bar chart annual revenue (last 5 years - 2020 til 2024) of 3 targeted genres, overlaid with vn market's revenue & download chart",ID-017-925,-,500
ID-020-312,slide 7 (2024 review - main content - targeted genres' 2024 performance): assemble the slide,"ID-018-195, ID-019-410",-,10
ID-021-108,"slide 8 (2024 review - main content - targeted genres's prominent new games): calculate top 3 new games in terms of 2024 1st 60-day revenue for 3 targeted genres (4x strategy, mmorpg+, turn-based rpg)",ID-015-251,-,100
ID-022-200,"slide 8 (2024 review - main content - targeted genres's prominent new games): find & write down game info (revenue, publishing date, publisher) for 3 x 3 = 9 games",ID-021-108,-,90
ID-023-455,slide 8 (2024 review - main content - targeted genres's prominent new games): assemble the slide,"ID-021-108, ID-022-200",-,10
ID-024-388,slide 9 (2024 review - main content - 2024 forecast review): craft the whole slide,"ID-017-925, ID-020-312, ID-023-455",-,20
ID-025-803,slide 10 (2025 methodology - section intro): craft the whole slide,-,-,5
ID-026-947,slide 11 (2025 methodology - main content - method description): craft the whole slide,-,-,90
ID-027-918,slide 12 (2025 methodology - main content - compare & contrast the 2 methods): craft the whole slide,ID-026-947,-,30
ID-028-310,slide 13 (2025 targeted genres - section intro): craft the whole slide,-,-,5
ID-029-120,slide 14 (2025 targeted genres - main content - method 1: strongest genres in vn): calculate the top genres in terms of market share (2023 & 2024) and/or cagr (2014 - 2023),-,"ID-083-154, ID-084-311, ID-085-702",1082
ID-030-975,slide 14 (2025 targeted genres - main content - method 1: strongest genres in vn): assemble the slide,ID-029-120,-,10
ID-031-676,slide 15 (2025 targeted genres - main content - method 1: strong genres with market-entry opportunities for garena): analyze each of the 10 top genres from slide 14's output to highlight the genres presenting market-entry opportunities for garena,ID-030-975,-,1600
ID-032-983,slide 15 (2025 targeted genres - main content - method 1: strong genres with market-entry opportunities for garena): assemble the slide,ID-031-676,-,30
ID-033-245,slide 16 (2025 targeted genres - main content - method 2: recent successful new games): calculate top 10 new games having highest 1st year revenue in 2023 - 2024 and their genres,-,"ID-096-214, ID-097-378, ID-098-535",130
ID-034-332,slide 16 (2025 targeted genres - main content - method 2: recent successful new games): assemble the slide,ID-033-245,-,10
ID-035-201,slide 17 (2025 targeted genres - main content - method 2: outstanding games): analyze each of the top 10 new games from the output of slide 16 to come up with insights,ID-033-245,-,1200
